#{"t_start": 1743946548.791229, "env_id": "None"}
r,l,t
9.1,10,28.02808
9.1,10,28.03725
6.4,10,28.050024
9.0,11,28.060774
9.1,10,28.070538
9.3,8,28.078112
9.0,11,28.087944
9.0,11,28.099104
9.2,9,28.108838
8.8,13,28.122802
9.2,9,28.132782
7.4,9,28.142827
9.0,11,28.154688
9.1,10,28.165528
8.3,9,28.175057
9.2,9,28.184823
9.2,9,28.195116
9.2,9,28.20518
8.4,8,28.21379
9.3,8,28.222319
8.7,14,28.237188
9.3,8,28.245804
9.3,8,28.254489
9.2,9,28.264292
8.0,12,28.277468
9.3,8,28.286117
8.2,10,28.2971
8.9,12,28.309872
7.5,8,28.318619
8.1,11,28.33349
7.9,13,28.347509
9.3,8,28.356203
8.2,10,28.366895
8.8,13,28.380694
9.1,10,28.391335
9.1,10,28.402088
8.3,9,28.411774
8.4,8,28.420399
7.3,10,28.431756
9.2,9,28.442022
8.9,12,28.455469
7.5,8,28.464139
8.4,8,28.472262
9.2,9,28.478959
9.0,11,28.486708
9.3,8,28.492363
8.3,9,28.499175
8.4,8,28.505031
9.3,8,28.510835
8.3,9,28.51737
9.3,8,28.523065
8.1,11,28.53089
9.0,11,29.716043
8.3,9,29.722589
9.3,8,29.728405
9.2,9,29.734833
6.9,14,29.744713
9.3,8,29.75046
9.2,9,29.757033
8.4,8,29.762882
9.2,9,29.769452
9.1,10,29.777419
8.2,10,29.784899
9.2,9,29.791396
9.3,8,29.797075
8.3,9,29.8034
9.0,11,29.811147
8.9,12,29.819777
9.1,10,29.826812
9.3,8,29.832442
8.8,13,29.841611
9.1,10,29.848769
9.3,8,29.854385
8.4,8,29.860161
9.2,9,29.866478
7.5,8,29.872195
8.7,14,29.882174
9.1,10,29.889381
9.2,9,29.895805
9.3,8,29.90159
8.4,8,29.907263
9.3,8,29.913094
9.2,9,29.921822
8.9,12,29.934541
9.3,8,29.943602
9.2,9,29.951499
7.2,11,29.959574
8.4,8,29.965189
8.2,10,29.972526
8.4,8,29.978231
8.8,13,29.987316
8.4,8,29.993025
9.2,9,29.99961
8.4,17,30.011668
8.3,9,30.018066
9.2,9,30.024489
7.3,10,30.031579
9.2,9,30.038053
8.1,11,30.045842
8.4,8,30.051494
9.0,11,30.059338
9.3,8,30.065086
7.2,11,30.072834
9.3,8,30.078836
8.7,14,30.088634
8.3,9,30.094997
9.2,9,30.101552
9.2,9,30.108016
9.0,11,30.115771
9.2,9,30.122109
9.3,8,30.127784
8.9,12,30.136401
9.3,8,30.142091
8.4,8,30.147868
9.0,11,30.155682
9.3,8,30.161484
9.3,8,30.167235
9.2,9,30.173577
8.7,14,30.183498
8.0,12,30.192004
9.1,10,30.199053
9.3,8,30.204713
8.9,12,30.213157
8.4,8,30.218868
8.4,8,30.224515
8.7,14,30.234366
9.3,8,30.24012
9.3,8,30.245807
8.4,8,30.251473
8.6,15,30.262499
9.1,10,30.274946
8.4,8,30.280905
8.4,8,30.286795
8.4,8,30.29249
9.3,8,30.298409
9.2,9,30.304733
9.3,8,30.310434
9.2,9,30.316802
